"Postaja","Smjer","Brzina (m/s)","Temp. (°C)","Stanje"
"Zagreb-Maksimir","SW","0.4",8.4,"pretežno oblačno"
"Puntijarka (Medvednica)","W","3.6",6.3,"pretežno oblačno"
"Krapina A","-","-",7.5,"-"
"Varaždin A","S","3.1",8.3,"-"
"Križevci A","S","1.8",7.6,"-"
"Bilogora","SW","3.1",7.2,"pretežno oblačno"
"Daruvar A","SE","1.1",7.2,"-"
"Bjelovar A","E","0.5",7.5,"-"
"Sisak A","SE","1.1",7.8,"-"
"Gorice (kod Nove Gradiške)","S","1.3",8.4,"vedro"
"Kutjevo A","SW","1.3",7.4,"-"
"Slavonski Brod A","SW","1.0",8,"-"
"Osijek-Čepin A","W","0.7",7.8,"-"
"Gradište","NW","1.8",8.6,"pretežno oblačno"
"Karlovac A","C","0.0",6.3,"-"
"Ogulin A","S","0.8",7.2,"-"
"NP Plitvička jezera A","S","0.2",6.2,"-"
"Gospić A","SW","0.5",8.1,"-"
"Parg-Čabar A","S","1.0",6.2,"-"
"Pazin A","SW","1.4",7.9,"-"
"Pula-aerodrom","W","3.0",8.9,"potpuno oblačno"
"Porer A","NW","5.4",11,"-"
"Opatija A","N","0.3",9.9,"-"
"Rijeka A","C","0.0",9.8,"-"
"Malinska A","NW","0.1",10.4,"-"
"Crikvenica A","SE","0.1",10.9,"-"
"Senj A","SE","1.2",11.7,"-"
"Zavižan A","SE","2.7",4.2,"-"
"Rab A","N","1.2",11.7,"-"
"Mali Lošinj A","W","2.7",11.1,"-"
"Zadar A","NW","2.3",12.3,"-"
"Veli Rat A","NW","5.1",12.9,"-"
"Knin A","SW","1.0",14.1,"-"
"Šibenik A","NW","1.7",12.7,"-"
"Split-Marjan A","NW","1.1",13.3,"-"
"Split-aerodrom","C","0.0",11.3,"umjereno oblačno"
"Hvar A","NW","1.7",13.1,"-"
"Ploče A","NE","2.0",11,"-"
"Dubrovnik A","NW","2.8",14,"-"
"Gruda A","E","1.7",8.6,"-"
"Prevlaka A","NW","3.3",13.1,"-"
"Palagruža A","NW","4.8",13.2,"-"
